Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of Ownership,Industry,Sector,Revenue,Competitors
Security Analyst,$111k-$167k,Protect systems against cyber threats and ensure data security.,3.0,Plan Pros,"Seattle, WA","Los Angeles, CA",51-200 employees,2009,Subsidiary or Business Segment,Finance,Media,$1 to $5 million,None
Sales Manager,$74k-$178k,Lead sales teams to achieve targets through strategic planning.,1.1,Secure Systems,"New York, NY","Boston, MA",501-1000 employees,1928,Public,Cybersecurity,"Arts, Entertainment & Recreation",Less than $1 million,None
Sales Manager,$106k-$228k,Lead sales teams to achieve targets through strategic planning.,3.0,Net Solutions,"Seattle, WA","Austin, TX",501-1000 employees,1951,Private,Management Consulting,Real Estate,More than $50 million,None
Network Administrator,$100k-$228k,Maintain and troubleshoot company network issues.,4.8,Plan Pros,"Washington, DC","Atlanta, GA",1001-5000 employees,1982,Private,Human Resources,Business Services,$10 to $25 million,None
Financial Analyst,$55k-$181k,Conduct financial analysis and report on budgeting.,3.1,Media Magic,"New York, NY","Atlanta, GA",501-1000 employees,1966,Private,Graphic Design,Biotech & Pharmaceuticals,$10 to $25 million,None
Digital Media Manager,$88k-$249k,Manage online content and social media presence.,4.3,Finance First,"Chicago, IL","Denver, CO",201-500 employees,1978,Private,Software Development,Non-Profit,$1 to $5 million,None
Financial Analyst,$132k-$207k,Conduct financial analysis and report on budgeting.,1.4,People Partners,"San Francisco, CA","Chicago, IL",1001-5000 employees,2020,Non-profit Organization,Consumer Products,Real Estate,$10 to $25 million,None
Network Administrator,$107k-$153k,Maintain and troubleshoot company network issues.,1.7,Plan Pros,"Austin, TX","Seattle, WA",1-50 employees,1932,Government,Software Development,Retail,More than $50 million,None
Web Developer,$65k-$161k,Build and maintain websites to enhance user experience.,1.5,Finance First,"Los Angeles, CA","San Francisco, CA",1001-5000 employees,1990,Subsidiary or Business Segment,Software Development,Non-Profit,$25 to $50 million,None
Sales Manager,$98k-$220k,Lead sales teams to achieve targets through strategic planning.,2.5,Secure Systems,"Chicago, IL","Los Angeles, CA",1001-5000 employees,2011,Public,Consumer Products,Retail,$1 to $5 million,None
Security Analyst,$141k-$156k,Protect systems against cyber threats and ensure data security.,2.7,Data Wizards,"Seattle, WA","Boston, MA",51-200 employees,1915,Public,Graphic Design,Technology,$25 to $50 million,None
Security Analyst,$82k-$151k,Protect systems against cyber threats and ensure data security.,2.8,Office Organizers,"Seattle, WA","Atlanta, GA",1-50 employees,1977,Subsidiary or Business Segment,Graphic Design,"Arts, Entertainment & Recreation",$25 to $50 million,None
Supply Chain Analyst,$110k-$208k,Optimize supply chain processes to improve efficiency.,2.6,Market Movers,"Washington, DC","Washington, DC",1-50 employees,1931,Non-profit Organization,Research & Development,Government,More than $50 million,None
Human Resources Coordinator,$76k-$156k,"Manage recruitment, training, and employee relations.",1.7,Tech Innovate,"Los Angeles, CA","New York, NY",51-200 employees,2009,Private,Logistics,Government,$25 to $50 million,None
Data Scientist,$92k-$161k,Analyze large datasets to uncover actionable insights.,1.2,Media Magic,"Chicago, IL","Chicago, IL",201-500 employees,1978,Non-profit Organization,Management Consulting,Non-Profit,$1 to $5 million,None
Financial Analyst,$145k-$224k,Conduct financial analysis and report on budgeting.,2.4,Tech Innovate,"San Francisco, CA","Boston, MA",201-500 employees,1947,Subsidiary or Business Segment,Administrative Services,Business Services,$10 to $25 million,None
Administrative Assistant,$120k-$158k,Provide administrative support to ensure efficient office operations.,2.2,Global Sales Group,"San Francisco, CA","Boston, MA",201-500 employees,1967,Subsidiary or Business Segment,Human Resources,"Arts, Entertainment & Recreation",More than $50 million,None
Graphic Designer,$128k-$157k,Design visual content for digital and print media.,1.4,Web Wonders,"Atlanta, GA","San Francisco, CA",501-1000 employees,1992,Non-profit Organization,Customer Service,Biotech & Pharmaceuticals,$10 to $25 million,None
Project Manager,$90k-$183k,Oversee project lifecycle from initiation to closure.,3.1,Plan Pros,"Los Angeles, CA","Chicago, IL",1001-5000 employees,1972,Subsidiary or Business Segment,Human Resources,Media,$10 to $25 million,None
Security Analyst,$73k-$228k,Protect systems against cyber threats and ensure data security.,1.9,Data Wizards,"Austin, TX","New York, NY",1-50 employees,1903,Subsidiary or Business Segment,Logistics,Business Services,More than $50 million,None
Administrative Assistant,$76k-$228k,Provide administrative support to ensure efficient office operations.,5.0,Media Magic,"New York, NY","Los Angeles, CA",201-500 employees,1971,Public,IT Services,"Arts, Entertainment & Recreation",More than $50 million,None
Data Scientist,$82k-$158k,Analyze large datasets to uncover actionable insights.,2.2,People Partners,"Atlanta, GA","Los Angeles, CA",1-50 employees,1914,Government,Networking & Security,Real Estate,More than $50 million,None
Project Manager,$128k-$153k,Oversee project lifecycle from initiation to closure.,4.3,Design Dreams,"Los Angeles, CA","Los Angeles, CA",501-1000 employees,2017,Subsidiary or Business Segment,Cybersecurity,Technology,More than $50 million,None
Sales Manager,$111k-$169k,Lead sales teams to achieve targets through strategic planning.,3.5,Support Central,"Atlanta, GA","Los Angeles, CA",501-1000 employees,2000,Subsidiary or Business Segment,Customer Service,Technology,$25 to $50 million,None
Data Scientist,$122k-$242k,Analyze large datasets to uncover actionable insights.,3.7,People Partners,"Atlanta, GA","New York, NY",51-200 employees,1973,Government,Cybersecurity,Insurance,Less than $1 million,None
Sales Manager,$85k-$153k,Lead sales teams to achieve targets through strategic planning.,2.4,Media Magic,"Atlanta, GA","Chicago, IL",1001-5000 employees,1977,Subsidiary or Business Segment,Consumer Products,Government,Less than $1 million,None
Administrative Assistant,$150k-$246k,Provide administrative support to ensure efficient office operations.,2.2,Office Organizers,"Los Angeles, CA","New York, NY",201-500 employees,1952,Private,Finance,"Arts, Entertainment & Recreation",$5 to $10 million,None
Financial Analyst,$88k-$177k,Conduct financial analysis and report on budgeting.,3.1,Global Sales Group,"San Francisco, CA","Los Angeles, CA",1-50 employees,1999,Public,Customer Service,Business Services,$10 to $25 million,None
Human Resources Coordinator,$53k-$211k,"Manage recruitment, training, and employee relations.",4.6,Global Sales Group,"Austin, TX","Los Angeles, CA",501-1000 employees,1993,Non-profit Organization,Research & Development,Insurance,$1 to $5 million,None
Security Analyst,$62k-$216k,Protect systems against cyber threats and ensure data security.,3.7,Global Sales Group,"Austin, TX","New York, NY",501-1000 employees,1949,Non-profit Organization,Marketing,Technology,$5 to $10 million,None
Customer Support Representative,$55k-$237k,Handle customer inquiries and resolve issues promptly.,4.4,Office Organizers,"San Francisco, CA","Los Angeles, CA",501-1000 employees,2013,Private,Marketing,Non-Profit,More than $50 million,None
Web Developer,$89k-$152k,Build and maintain websites to enhance user experience.,3.3,Data Wizards,"Austin, TX","Los Angeles, CA",51-200 employees,1924,Government,Research & Development,Non-Profit,$5 to $10 million,None
Security Analyst,$106k-$235k,Protect systems against cyber threats and ensure data security.,1.5,Global Sales Group,"Chicago, IL","Boston, MA",1-50 employees,1901,Non-profit Organization,Human Resources,Non-Profit,Less than $1 million,None
Graphic Designer,$119k-$194k,Design visual content for digital and print media.,3.2,Data Wizards,"Chicago, IL","Boston, MA",1001-5000 employees,1931,Public,Marketing,Biotech & Pharmaceuticals,$25 to $50 million,None
Customer Support Representative,$93k-$219k,Handle customer inquiries and resolve issues promptly.,2.8,Global Sales Group,"New York, NY","Seattle, WA",1-50 employees,1913,Subsidiary or Business Segment,IT Services,Business Services,$10 to $25 million,None
Digital Media Manager,$72k-$240k,Manage online content and social media presence.,3.4,Plan Pros,"Seattle, WA","Washington, DC",201-500 employees,1939,Government,Administrative Services,"Arts, Entertainment & Recreation",More than $50 million,None
Security Analyst,$135k-$218k,Protect systems against cyber threats and ensure data security.,1.3,Support Central,"Seattle, WA","Washington, DC",51-200 employees,1911,Subsidiary or Business Segment,Marketing,Media,$5 to $10 million,None
Supply Chain Analyst,$132k-$240k,Optimize supply chain processes to improve efficiency.,4.1,Finance First,"Austin, TX","Austin, TX",51-200 employees,2010,Non-profit Organization,Research & Development,Insurance,$10 to $25 million,None
Sales Manager,$139k-$235k,Lead sales teams to achieve targets through strategic planning.,2.3,Office Organizers,"Los Angeles, CA","Seattle, WA",501-1000 employees,1903,Private,Finance,Business Services,$5 to $10 million,None
Financial Analyst,$109k-$171k,Conduct financial analysis and report on budgeting.,2.1,Net Solutions,"Washington, DC","Washington, DC",51-200 employees,1965,Private,Digital Media,Business Services,$5 to $10 million,None
Human Resources Coordinator,$133k-$159k,"Manage recruitment, training, and employee relations.",4.2,People Partners,"Seattle, WA","Denver, CO",1001-5000 employees,1952,Public,Management Consulting,"Arts, Entertainment & Recreation",$25 to $50 million,None
Sales Manager,$111k-$199k,Lead sales teams to achieve targets through strategic planning.,1.3,Design Dreams,"Washington, DC","Denver, CO",501-1000 employees,1972,Government,Human Resources,"Arts, Entertainment & Recreation",$1 to $5 million,None
Supply Chain Analyst,$135k-$159k,Optimize supply chain processes to improve efficiency.,4.0,Web Wonders,"Washington, DC","Seattle, WA",1-50 employees,1975,Non-profit Organization,Finance,Insurance,$25 to $50 million,None
Marketing Specialist,$106k-$172k,Create and execute marketing strategies to enhance brand awareness.,2.2,Media Magic,"San Francisco, CA","Washington, DC",1-50 employees,1987,Non-profit Organization,Cybersecurity,Real Estate,$5 to $10 million,None
Financial Analyst,$132k-$234k,Conduct financial analysis and report on budgeting.,1.2,Design Dreams,"Chicago, IL","Washington, DC",1-50 employees,1996,Public,Logistics,Retail,$10 to $25 million,None
Human Resources Coordinator,$87k-$199k,"Manage recruitment, training, and employee relations.",3.5,Finance First,"Austin, TX","Austin, TX",201-500 employees,1938,Non-profit Organization,Cybersecurity,Biotech & Pharmaceuticals,$10 to $25 million,None
Web Developer,$94k-$161k,Build and maintain websites to enhance user experience.,3.3,Plan Pros,"Atlanta, GA","Denver, CO",51-200 employees,2009,Government,IT Services,Insurance,$25 to $50 million,None
Software Developer,$50k-$240k,Develop and maintain software applications based on client requirements.,3.2,Net Solutions,"San Francisco, CA","Boston, MA",1-50 employees,1930,Subsidiary or Business Segment,Software Development,Government,$10 to $25 million,None
Supply Chain Analyst,$90k-$241k,Optimize supply chain processes to improve efficiency.,2.5,Media Magic,"Denver, CO","Atlanta, GA",51-200 employees,1984,Public,Finance,Retail,$1 to $5 million,None
Human Resources Coordinator,$99k-$196k,"Manage recruitment, training, and employee relations.",4.4,Global Sales Group,"Boston, MA","Chicago, IL",51-200 employees,1901,Private,Logistics,Technology,$1 to $5 million,None
Web Developer,$112k-$234k,Build and maintain websites to enhance user experience.,2.7,Global Sales Group,"San Francisco, CA","Chicago, IL",501-1000 employees,2010,Subsidiary or Business Segment,Customer Service,Government,$10 to $25 million,None
Project Manager,$73k-$208k,Oversee project lifecycle from initiation to closure.,3.0,People Partners,"Seattle, WA","Denver, CO",201-500 employees,1928,Public,Digital Media,Government,Less than $1 million,None
Project Manager,$113k-$243k,Oversee project lifecycle from initiation to closure.,1.9,People Partners,"Boston, MA","Denver, CO",1001-5000 employees,1973,Government,IT Services,Technology,$25 to $50 million,None
Financial Analyst,$140k-$197k,Conduct financial analysis and report on budgeting.,1.5,Finance First,"San Francisco, CA","Chicago, IL",1001-5000 employees,2009,Government,Finance,Non-Profit,Less than $1 million,None
Human Resources Coordinator,$128k-$161k,"Manage recruitment, training, and employee relations.",2.0,Supply Chain Co.,"San Francisco, CA","Atlanta, GA",1001-5000 employees,1939,Non-profit Organization,IT Services,Insurance,$25 to $50 million,None
Security Analyst,$51k-$210k,Protect systems against cyber threats and ensure data security.,2.8,Support Central,"Seattle, WA","Washington, DC",201-500 employees,1953,Government,Cybersecurity,Biotech & Pharmaceuticals,$5 to $10 million,None
Sales Manager,$54k-$238k,Lead sales teams to achieve targets through strategic planning.,4.7,Web Wonders,"Boston, MA","Washington, DC",201-500 employees,1907,Subsidiary or Business Segment,Management Consulting,Retail,$25 to $50 million,None
Software Developer,$134k-$187k,Develop and maintain software applications based on client requirements.,4.2,Plan Pros,"New York, NY","Boston, MA",501-1000 employees,1910,Public,Human Resources,Business Services,$5 to $10 million,None
Data Scientist,$66k-$228k,Analyze large datasets to uncover actionable insights.,2.1,Office Organizers,"Boston, MA","New York, NY",1-50 employees,1977,Public,Customer Service,Government,More than $50 million,None
Sales Manager,$134k-$207k,Lead sales teams to achieve targets through strategic planning.,2.5,Global Sales Group,"Boston, MA","Austin, TX",501-1000 employees,1923,Non-profit Organization,Administrative Services,Technology,$5 to $10 million,None
Marketing Specialist,$68k-$226k,Create and execute marketing strategies to enhance brand awareness.,4.7,Global Sales Group,"Seattle, WA","Denver, CO",501-1000 employees,1930,Subsidiary or Business Segment,Software Development,Retail,$1 to $5 million,None
Project Manager,$143k-$194k,Oversee project lifecycle from initiation to closure.,1.2,Data Wizards,"San Francisco, CA","New York, NY",51-200 employees,1959,Subsidiary or Business Segment,Finance,Biotech & Pharmaceuticals,$10 to $25 million,None
Web Developer,$146k-$218k,Build and maintain websites to enhance user experience.,1.9,Supply Chain Co.,"Denver, CO","Seattle, WA",201-500 employees,1918,Non-profit Organization,Administrative Services,Real Estate,Less than $1 million,None
Data Scientist,$107k-$198k,Analyze large datasets to uncover actionable insights.,3.7,People Partners,"New York, NY","San Francisco, CA",1001-5000 employees,1981,Government,Administrative Services,Real Estate,$25 to $50 million,None
Customer Support Representative,$133k-$184k,Handle customer inquiries and resolve issues promptly.,2.3,Data Wizards,"San Francisco, CA","Boston, MA",1001-5000 employees,1950,Subsidiary or Business Segment,Cybersecurity,"Arts, Entertainment & Recreation",More than $50 million,None
Supply Chain Analyst,$125k-$248k,Optimize supply chain processes to improve efficiency.,1.8,Net Solutions,"Chicago, IL","Los Angeles, CA",1001-5000 employees,1901,Private,Administrative Services,Business Services,Less than $1 million,None
Digital Media Manager,$62k-$217k,Manage online content and social media presence.,1.4,Finance First,"Los Angeles, CA","Austin, TX",201-500 employees,1932,Public,IT Services,Technology,$25 to $50 million,None
Marketing Specialist,$57k-$226k,Create and execute marketing strategies to enhance brand awareness.,3.6,Office Organizers,"Austin, TX","Washington, DC",1-50 employees,1990,Private,Marketing,Government,$1 to $5 million,None
Digital Media Manager,$134k-$247k,Manage online content and social media presence.,4.6,Plan Pros,"Chicago, IL","San Francisco, CA",51-200 employees,1932,Government,Finance,Business Services,More than $50 million,None
Financial Analyst,$85k-$248k,Conduct financial analysis and report on budgeting.,2.7,Support Central,"Los Angeles, CA","Boston, MA",51-200 employees,1999,Private,Research & Development,Technology,$10 to $25 million,None
Digital Media Manager,$92k-$157k,Manage online content and social media presence.,2.0,Office Organizers,"Boston, MA","Chicago, IL",501-1000 employees,1908,Subsidiary or Business Segment,Customer Service,"Arts, Entertainment & Recreation",$25 to $50 million,None
Digital Media Manager,$72k-$232k,Manage online content and social media presence.,3.0,Global Sales Group,"Atlanta, GA","Denver, CO",51-200 employees,1978,Private,Customer Service,Media,More than $50 million,None
Data Scientist,$63k-$154k,Analyze large datasets to uncover actionable insights.,1.3,Plan Pros,"Boston, MA","Seattle, WA",1-50 employees,2014,Subsidiary or Business Segment,Consumer Products,Technology,Less than $1 million,None
Supply Chain Analyst,$99k-$184k,Optimize supply chain processes to improve efficiency.,1.6,Net Solutions,"Denver, CO","Washington, DC",1-50 employees,1965,Subsidiary or Business Segment,Finance,Real Estate,$10 to $25 million,None
Administrative Assistant,$143k-$249k,Provide administrative support to ensure efficient office operations.,4.2,Market Movers,"Atlanta, GA","Austin, TX",1-50 employees,1949,Subsidiary or Business Segment,Marketing,Government,$25 to $50 million,None
Customer Support Representative,$95k-$192k,Handle customer inquiries and resolve issues promptly.,3.7,Media Magic,"New York, NY","San Francisco, CA",201-500 employees,1968,Government,Marketing,Media,$5 to $10 million,None
Supply Chain Analyst,$75k-$172k,Optimize supply chain processes to improve efficiency.,3.2,Media Magic,"Austin, TX","Boston, MA",501-1000 employees,2014,Private,Logistics,Insurance,$10 to $25 million,None
Marketing Specialist,$130k-$206k,Create and execute marketing strategies to enhance brand awareness.,3.9,Global Sales Group,"New York, NY","Austin, TX",1-50 employees,1992,Non-profit Organization,Graphic Design,Media,$10 to $25 million,None
Marketing Specialist,$119k-$232k,Create and execute marketing strategies to enhance brand awareness.,2.2,People Partners,"Seattle, WA","New York, NY",1-50 employees,1943,Private,Networking & Security,Technology,$10 to $25 million,None
Marketing Specialist,$77k-$233k,Create and execute marketing strategies to enhance brand awareness.,3.7,Finance First,"Atlanta, GA","Chicago, IL",1001-5000 employees,1929,Private,IT Services,Retail,$10 to $25 million,None
Supply Chain Analyst,$52k-$210k,Optimize supply chain processes to improve efficiency.,4.6,Plan Pros,"New York, NY","Austin, TX",51-200 employees,1901,Public,Logistics,Technology,$5 to $10 million,None
Administrative Assistant,$62k-$208k,Provide administrative support to ensure efficient office operations.,3.4,Office Organizers,"Washington, DC","San Francisco, CA",1-50 employees,1914,Subsidiary or Business Segment,Management Consulting,Government,$1 to $5 million,None
Marketing Specialist,$75k-$204k,Create and execute marketing strategies to enhance brand awareness.,2.3,Office Organizers,"Denver, CO","Los Angeles, CA",1-50 employees,1987,Non-profit Organization,Human Resources,Retail,$5 to $10 million,None
Administrative Assistant,$77k-$247k,Provide administrative support to ensure efficient office operations.,1.2,Global Sales Group,"Los Angeles, CA","San Francisco, CA",1-50 employees,1935,Public,Cybersecurity,Real Estate,$1 to $5 million,None
Web Developer,$97k-$220k,Build and maintain websites to enhance user experience.,1.7,Design Dreams,"Washington, DC","New York, NY",51-200 employees,1912,Non-profit Organization,Digital Media,Retail,Less than $1 million,None
Customer Support Representative,$112k-$160k,Handle customer inquiries and resolve issues promptly.,1.0,Global Sales Group,"San Francisco, CA","Washington, DC",201-500 employees,1953,Subsidiary or Business Segment,Software Development,Retail,$1 to $5 million,None
Sales Manager,$131k-$184k,Lead sales teams to achieve targets through strategic planning.,3.1,Media Magic,"Austin, TX","Chicago, IL",1001-5000 employees,1988,Private,Management Consulting,Retail,More than $50 million,None
Financial Analyst,$128k-$161k,Conduct financial analysis and report on budgeting.,3.5,Secure Systems,"Boston, MA","Los Angeles, CA",501-1000 employees,1900,Non-profit Organization,Graphic Design,"Arts, Entertainment & Recreation",Less than $1 million,None
Human Resources Coordinator,$62k-$229k,"Manage recruitment, training, and employee relations.",2.4,Secure Systems,"Atlanta, GA","Atlanta, GA",51-200 employees,1959,Public,Research & Development,Technology,$1 to $5 million,None
Marketing Specialist,$69k-$237k,Create and execute marketing strategies to enhance brand awareness.,4.4,Support Central,"Seattle, WA","Seattle, WA",51-200 employees,1920,Private,IT Services,Insurance,$5 to $10 million,None
Graphic Designer,$105k-$182k,Design visual content for digital and print media.,2.3,Secure Systems,"Seattle, WA","New York, NY",1-50 employees,1994,Private,Customer Service,Non-Profit,$1 to $5 million,None
Sales Manager,$150k-$153k,Lead sales teams to achieve targets through strategic planning.,2.9,Market Movers,"San Francisco, CA","Austin, TX",501-1000 employees,1975,Non-profit Organization,Networking & Security,Real Estate,$1 to $5 million,None
Web Developer,$136k-$191k,Build and maintain websites to enhance user experience.,1.9,Market Movers,"Los Angeles, CA","Austin, TX",1-50 employees,1930,Subsidiary or Business Segment,Administrative Services,"Arts, Entertainment & Recreation",$10 to $25 million,None
Customer Support Representative,$78k-$159k,Handle customer inquiries and resolve issues promptly.,2.9,Finance First,"New York, NY","Denver, CO",51-200 employees,1927,Non-profit Organization,Finance,Retail,$10 to $25 million,None
Network Administrator,$67k-$208k,Maintain and troubleshoot company network issues.,3.9,Supply Chain Co.,"Los Angeles, CA","Boston, MA",51-200 employees,1942,Public,IT Services,Government,Less than $1 million,None
Data Scientist,$67k-$164k,Analyze large datasets to uncover actionable insights.,4.4,Finance First,"Denver, CO","Chicago, IL",201-500 employees,1928,Government,Management Consulting,Retail,More than $50 million,None
Project Manager,$71k-$223k,Oversee project lifecycle from initiation to closure.,4.9,Office Organizers,"Austin, TX","San Francisco, CA",501-1000 employees,2009,Non-profit Organization,Finance,"Arts, Entertainment & Recreation",$25 to $50 million,None
Financial Analyst,$109k-$185k,Conduct financial analysis and report on budgeting.,1.1,Media Magic,"Austin, TX","Austin, TX",201-500 employees,1955,Non-profit Organization,Graphic Design,Government,$1 to $5 million,None
Customer Support Representative,$123k-$150k,Handle customer inquiries and resolve issues promptly.,2.7,Tech Innovate,"New York, NY","Seattle, WA",1001-5000 employees,1904,Subsidiary or Business Segment,Human Resources,Real Estate,$10 to $25 million,None
Security Analyst,$139k-$162k,Protect systems against cyber threats and ensure data security.,2.8,Design Dreams,"San Francisco, CA","Atlanta, GA",1-50 employees,1988,Subsidiary or Business Segment,Graphic Design,Retail,$5 to $10 million,None
Data Scientist,$80k-$232k,Analyze large datasets to uncover actionable insights.,5.0,Tech Innovate,"Seattle, WA","Boston, MA",51-200 employees,1990,Subsidiary or Business Segment,Administrative Services,Government,More than $50 million,None
Project Manager,$53k-$208k,Oversee project lifecycle from initiation to closure.,2.9,Global Sales Group,"Denver, CO","Chicago, IL",201-500 employees,1980,Subsidiary or Business Segment,Software Development,Technology,More than $50 million,None
Marketing Specialist,$99k-$238k,Create and execute marketing strategies to enhance brand awareness.,2.3,Tech Innovate,"Boston, MA","Denver, CO",201-500 employees,1989,Non-profit Organization,Human Resources,Government,$1 to $5 million,None
Security Analyst,$137k-$160k,Protect systems against cyber threats and ensure data security.,3.5,Net Solutions,"New York, NY","Atlanta, GA",201-500 employees,2013,Private,Marketing,Real Estate,$5 to $10 million,None
Financial Analyst,$129k-$155k,Conduct financial analysis and report on budgeting.,2.5,Global Sales Group,"Atlanta, GA","San Francisco, CA",1001-5000 employees,1990,Public,Consumer Products,Insurance,$1 to $5 million,None
Human Resources Coordinator,$64k-$233k,"Manage recruitment, training, and employee relations.",2.9,Secure Systems,"Washington, DC","Austin, TX",51-200 employees,1941,Government,Customer Service,Biotech & Pharmaceuticals,$25 to $50 million,None
Supply Chain Analyst,$104k-$185k,Optimize supply chain processes to improve efficiency.,1.2,Net Solutions,"Los Angeles, CA","Seattle, WA",501-1000 employees,1964,Non-profit Organization,Administrative Services,Business Services,$10 to $25 million,None
Web Developer,$118k-$236k,Build and maintain websites to enhance user experience.,4.3,Support Central,"Boston, MA","Seattle, WA",1001-5000 employees,1947,Private,Graphic Design,Media,Less than $1 million,None
Marketing Specialist,$100k-$172k,Create and execute marketing strategies to enhance brand awareness.,2.2,Market Movers,"San Francisco, CA","Chicago, IL",201-500 employees,1914,Public,Finance,Retail,$1 to $5 million,None
Human Resources Coordinator,$130k-$152k,"Manage recruitment, training, and employee relations.",2.2,Supply Chain Co.,"Atlanta, GA","Chicago, IL",501-1000 employees,1944,Subsidiary or Business Segment,Finance,Technology,$5 to $10 million,None
Graphic Designer,$58k-$152k,Design visual content for digital and print media.,4.5,Design Dreams,"Atlanta, GA","Los Angeles, CA",501-1000 employees,1974,Government,Logistics,Insurance,$10 to $25 million,None
Project Manager,$135k-$239k,Oversee project lifecycle from initiation to closure.,3.1,People Partners,"Seattle, WA","Seattle, WA",201-500 employees,1972,Public,Customer Service,Biotech & Pharmaceuticals,$1 to $5 million,None
Security Analyst,$83k-$179k,Protect systems against cyber threats and ensure data security.,2.9,Data Wizards,"New York, NY","Chicago, IL",201-500 employees,1936,Subsidiary or Business Segment,Consumer Products,Government,$1 to $5 million,None
Web Developer,$118k-$186k,Build and maintain websites to enhance user experience.,1.7,Global Sales Group,"Chicago, IL","Chicago, IL",51-200 employees,1914,Private,Networking & Security,Government,$1 to $5 million,None
Financial Analyst,$83k-$197k,Conduct financial analysis and report on budgeting.,1.7,People Partners,"New York, NY","Los Angeles, CA",201-500 employees,1918,Government,Finance,Non-Profit,$1 to $5 million,None
Human Resources Coordinator,$88k-$165k,"Manage recruitment, training, and employee relations.",4.7,Media Magic,"Seattle, WA","Chicago, IL",501-1000 employees,2018,Government,Consumer Products,Technology,More than $50 million,None
Human Resources Coordinator,$114k-$192k,"Manage recruitment, training, and employee relations.",3.6,Data Wizards,"Seattle, WA","Boston, MA",1001-5000 employees,1985,Public,Cybersecurity,Government,More than $50 million,None
Customer Support Representative,$106k-$193k,Handle customer inquiries and resolve issues promptly.,3.8,Web Wonders,"Seattle, WA","New York, NY",51-200 employees,1986,Non-profit Organization,Marketing,Biotech & Pharmaceuticals,Less than $1 million,None
Digital Media Manager,$129k-$178k,Manage online content and social media presence.,2.8,Market Movers,"Los Angeles, CA","New York, NY",1001-5000 employees,1982,Public,Management Consulting,Non-Profit,$1 to $5 million,None
Security Analyst,$148k-$185k,Protect systems against cyber threats and ensure data security.,1.8,Market Movers,"Atlanta, GA","Seattle, WA",1-50 employees,1965,Subsidiary or Business Segment,Graphic Design,Media,$5 to $10 million,None
Project Manager,$127k-$215k,Oversee project lifecycle from initiation to closure.,4.8,Support Central,"Los Angeles, CA","Denver, CO",51-200 employees,1991,Subsidiary or Business Segment,Networking & Security,Real Estate,$5 to $10 million,None
Software Developer,$86k-$194k,Develop and maintain software applications based on client requirements.,2.4,Finance First,"Atlanta, GA","San Francisco, CA",51-200 employees,1993,Subsidiary or Business Segment,Software Development,Real Estate,$10 to $25 million,None
Data Scientist,$70k-$243k,Analyze large datasets to uncover actionable insights.,4.9,Media Magic,"Denver, CO","Chicago, IL",1001-5000 employees,1976,Private,Consumer Products,"Arts, Entertainment & Recreation",$5 to $10 million,None
Financial Analyst,$117k-$192k,Conduct financial analysis and report on budgeting.,1.3,Plan Pros,"Denver, CO","San Francisco, CA",1-50 employees,1952,Government,Digital Media,Retail,$25 to $50 million,None
Financial Analyst,$140k-$222k,Conduct financial analysis and report on budgeting.,4.0,Global Sales Group,"Austin, TX","Chicago, IL",501-1000 employees,1937,Non-profit Organization,Finance,Technology,$5 to $10 million,None
Administrative Assistant,$124k-$188k,Provide administrative support to ensure efficient office operations.,3.0,Web Wonders,"Seattle, WA","Austin, TX",1-50 employees,2001,Private,Consumer Products,Biotech & Pharmaceuticals,$5 to $10 million,None
Supply Chain Analyst,$131k-$210k,Optimize supply chain processes to improve efficiency.,1.5,Supply Chain Co.,"Boston, MA","Denver, CO",51-200 employees,1962,Public,IT Services,Business Services,$5 to $10 million,None
Financial Analyst,$58k-$226k,Conduct financial analysis and report on budgeting.,4.0,Plan Pros,"Seattle, WA","Washington, DC",501-1000 employees,2011,Government,Logistics,Media,More than $50 million,None
Administrative Assistant,$65k-$197k,Provide administrative support to ensure efficient office operations.,3.1,Plan Pros,"New York, NY","Boston, MA",51-200 employees,1974,Private,Consumer Products,Insurance,$10 to $25 million,None
Customer Support Representative,$138k-$167k,Handle customer inquiries and resolve issues promptly.,2.4,Tech Innovate,"Boston, MA","Los Angeles, CA",501-1000 employees,1981,Government,IT Services,Biotech & Pharmaceuticals,$5 to $10 million,None
Human Resources Coordinator,$131k-$159k,"Manage recruitment, training, and employee relations.",3.1,Secure Systems,"Chicago, IL","San Francisco, CA",1001-5000 employees,1996,Public,Human Resources,Insurance,$5 to $10 million,None
Administrative Assistant,$137k-$188k,Provide administrative support to ensure efficient office operations.,2.1,Web Wonders,"Los Angeles, CA","San Francisco, CA",1001-5000 employees,1974,Government,Administrative Services,Retail,Less than $1 million,None
Sales Manager,$116k-$186k,Lead sales teams to achieve targets through strategic planning.,2.5,Finance First,"Denver, CO","Los Angeles, CA",51-200 employees,1913,Public,Consumer Products,Non-Profit,$1 to $5 million,None
Administrative Assistant,$74k-$221k,Provide administrative support to ensure efficient office operations.,3.5,Office Organizers,"Atlanta, GA","Atlanta, GA",1001-5000 employees,1989,Private,Digital Media,Media,Less than $1 million,None
Marketing Specialist,$66k-$152k,Create and execute marketing strategies to enhance brand awareness.,2.9,Data Wizards,"Los Angeles, CA","Chicago, IL",501-1000 employees,2013,Non-profit Organization,Human Resources,Insurance,$1 to $5 million,None
